Packet ID,Timestamp,Source IP,Destination IP,IP Version,Protocol,Source Port,Destination Port,Threat,Severity,Payload Status
23,2026-07-29 09:59:54,20.42.72.131,10.82.235.241,IPv4,TCP,443,55556,Dynamic/Unknown Port,LOW,No Payload
24,2026-07-29 09:59:54,10.82.235.241,20.42.72.131,IPv4,TCP,55556,443,SAFE,NONE,No Payload
25,2026-07-29 09:59:54,10.82.235.241,20.42.72.131,IPv4,TCP,55556,443,SAFE,NONE,Encrypted
26,2026-07-29 09:59:54,20.42.72.131,10.82.235.241,IPv4,TCP,443,55554,Dynamic/Unknown Port,LOW,No Payload
27,2026-07-29 09:59:54,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,No Payload
28,2026-07-29 09:59:54,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,Encrypted
29,2026-07-29 09:59:54,20.42.72.131,10.82.235.241,IPv4,TCP,443,55558,Dynamic/Unknown Port,LOW,No Payload
30,2026-07-29 09:59:54,20.42.72.131,10.82.235.241,IPv4,TCP,443,55559,Dynamic/Unknown Port,LOW,No Payload
31,2026-07-29 09:59:54,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,No Payload
32,2026-07-29 09:59:54,10.82.235.241,20.42.72.131,IPv4,TCP,55559,443,SAFE,NONE,No Payload
33,2026-07-29 09:59:54,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,Encrypted
34,2026-07-29 09:59:54,10.82.235.241,20.42.72.131,IPv4,TCP,55559,443,SAFE,NONE,Encrypted
35,2026-07-29 09:59:54,10.82.235.241,35.186.224.35,IPv4,TCP,64777,443,SAFE,NONE,No Payload
36,2026-07-29 09:59:54,52.182.143.212,10.82.235.241,IPv4,TCP,443,59020,Dynamic/Unknown Port,LOW,No Payload
37,2026-07-29 09:59:54,20.42.72.131,10.82.235.241,IPv4,TCP,443,55562,Dynamic/Unknown Port,LOW,No Payload
38,2026-07-29 09:59:54,10.82.235.241,20.42.72.131,IPv4,TCP,55562,443,SAFE,NONE,No Payload
39,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55562,443,SAFE,NONE,Encrypted
40,2026-07-29 09:59:55,52.182.143.212,10.82.235.241,IPv4,TCP,443,59020,Dynamic/Unknown Port,LOW,Encrypted
41,2026-07-29 09:59:55,10.82.235.241,52.182.143.212,IPv4,TCP,59020,443,SAFE,NONE,Encrypted
42,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55552,Dynamic/Unknown Port,LOW,Encrypted
43,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55552,443,SAFE,NONE,Encrypted
44,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55553,Dynamic/Unknown Port,LOW,Encrypted
45,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55557,Dynamic/Unknown Port,LOW,Encrypted
46,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55557,443,SAFE,NONE,Encrypted
47,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55553,443,SAFE,NONE,Encrypted
48,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55560,Dynamic/Unknown Port,LOW,Encrypted
49,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55560,443,SAFE,NONE,Encrypted
50,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55555,Dynamic/Unknown Port,LOW,Encrypted
51,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55555,443,SAFE,NONE,Encrypted
52,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55561,Dynamic/Unknown Port,LOW,Encrypted
53,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55561,443,SAFE,NONE,Encrypted
54,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55556,Dynamic/Unknown Port,LOW,Encrypted
55,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55556,443,SAFE,NONE,Encrypted
56,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55554,Dynamic/Unknown Port,LOW,Encrypted
57,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55559,Dynamic/Unknown Port,LOW,Encrypted
58,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55559,443,SAFE,NONE,Encrypted
59,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55558,Dynamic/Unknown Port,LOW,Encrypted
60,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,Encrypted
61,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,Encrypted
62,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55562,Dynamic/Unknown Port,LOW,Encrypted
63,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55562,443,SAFE,NONE,Encrypted
64,2026-07-29 09:59:55,52.182.143.212,10.82.235.241,IPv4,TCP,443,59020,Dynamic/Unknown Port,LOW,No Payload
65,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55557,Dynamic/Unknown Port,LOW,Encrypted
66,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55557,Dynamic/Unknown Port,LOW,Encrypted
67,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55557,Dynamic/Unknown Port,LOW,Encrypted
68,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55557,443,SAFE,NONE,No Payload
69,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55557,Dynamic/Unknown Port,LOW,Encrypted
70,2026-07-29 09:59:55,20.42.72.131,10.82.235.241,IPv4,TCP,443,55557,Dynamic/Unknown Port,LOW,Encrypted
71,2026-07-29 09:59:55,10.82.235.241,20.42.72.131,IPv4,TCP,55557,443,SAFE,NONE,No Payload
72,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55557,443,SAFE,NONE,Encrypted
73,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55557,443,SAFE,NONE,Encrypted
74,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55552,Dynamic/Unknown Port,LOW,Encrypted
75,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55552,443,SAFE,NONE,No Payload
76,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55552,Dynamic/Unknown Port,LOW,Encrypted
77,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55552,Dynamic/Unknown Port,LOW,Encrypted
78,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55552,443,SAFE,NONE,No Payload
79,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55560,Dynamic/Unknown Port,LOW,Encrypted
80,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55560,Dynamic/Unknown Port,LOW,Encrypted
81,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55560,443,SAFE,NONE,No Payload
82,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55560,Dynamic/Unknown Port,LOW,Encrypted
83,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55560,Dynamic/Unknown Port,LOW,Encrypted
84,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55560,443,SAFE,NONE,No Payload
85,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55560,Dynamic/Unknown Port,LOW,Encrypted
86,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55552,443,SAFE,NONE,Encrypted
87,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55552,443,SAFE,NONE,Encrypted
88,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55560,443,SAFE,NONE,Encrypted
89,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55560,443,SAFE,NONE,Encrypted
90,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55553,Dynamic/Unknown Port,LOW,Encrypted
91,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55553,Dynamic/Unknown Port,LOW,Encrypted
92,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55553,Dynamic/Unknown Port,LOW,Encrypted
93,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55553,443,SAFE,NONE,No Payload
94,2026-07-29 09:59:56,20.42.72.131,10.82.235.241,IPv4,TCP,443,55553,Dynamic/Unknown Port,LOW,Encrypted
95,2026-07-29 09:59:56,10.82.235.241,20.42.72.131,IPv4,TCP,55553,443,SAFE,NONE,Encrypted
96,2026-07-29 09:59:57,10.82.235.241,20.42.72.131,IPv4,TCP,55553,443,SAFE,NONE,Encrypted
97,2026-07-29 09:59:57,20.42.72.131,10.82.235.241,IPv4,TCP,443,55561,Dynamic/Unknown Port,LOW,Encrypted
98,2026-07-29 09:59:57,10.82.235.241,20.42.72.131,IPv4,TCP,55561,443,SAFE,NONE,No Payload
99,2026-07-29 09:59:57,20.42.72.131,10.82.235.241,IPv4,TCP,443,55561,Dynamic/Unknown Port,LOW,Encrypted
100,2026-07-29 09:59:57,10.82.235.241,20.42.72.131,IPv4,TCP,55561,443,SAFE,NONE,No Payload
101,2026-07-29 09:59:57,20.42.72.131,10.82.235.241,IPv4,TCP,443,55561,Dynamic/Unknown Port,LOW,Encrypted
102,2026-07-29 09:59:57,20.42.72.131,10.82.235.241,IPv4,TCP,443,55555,Dynamic/Unknown Port,LOW,Encrypted
103,2026-07-29 09:59:57,20.42.72.131,10.82.235.241,IPv4,TCP,443,55555,Dynamic/Unknown Port,LOW,Encrypted
104,2026-07-29 09:59:57,10.82.235.241,20.42.72.131,IPv4,TCP,55555,443,SAFE,NONE,No Payload
105,2026-07-29 09:59:57,20.42.72.131,10.82.235.241,IPv4,TCP,443,55555,Dynamic/Unknown Port,LOW,Encrypted
106,2026-07-29 09:59:57,20.42.72.131,10.82.235.241,IPv4,TCP,443,55555,Dynamic/Unknown Port,LOW,Encrypted
107,2026-07-29 09:59:57,10.82.235.241,20.42.72.131,IPv4,TCP,55555,443,SAFE,NONE,No Payload
108,2026-07-29 09:59:57,20.42.72.131,10.82.235.241,IPv4,TCP,443,55555,Dynamic/Unknown Port,LOW,Encrypted
109,2026-07-29 09:59:57,10.82.235.241,20.42.72.131,IPv4,TCP,55561,443,SAFE,NONE,Encrypted
110,2026-07-29 09:59:57,10.82.235.241,20.42.72.131,IPv4,TCP,55561,443,SAFE,NONE,Encrypted
111,2026-07-29 09:59:57,10.82.235.241,20.42.72.131,IPv4,TCP,55555,443,SAFE,NONE,Encrypted
112,2026-07-29 09:59:57,10.82.235.241,20.42.72.131,IPv4,TCP,55555,443,SAFE,NONE,Encrypted
113,2026-07-29 09:59:57,20.42.72.131,10.82.235.241,IPv4,TCP,443,55556,Dynamic/Unknown Port,LOW,Encrypted
114,2026-07-29 09:59:57,10.82.235.241,20.42.72.131,IPv4,TCP,55556,443,SAFE,NONE,No Payload
115,2026-07-29 09:59:58,20.42.72.131,10.82.235.241,IPv4,TCP,443,55556,Dynamic/Unknown Port,LOW,Encrypted
116,2026-07-29 09:59:58,10.82.235.241,20.42.72.131,IPv4,TCP,55556,443,SAFE,NONE,Encrypted
117,2026-07-29 09:59:58,10.82.235.241,20.42.72.131,IPv4,TCP,55556,443,SAFE,NONE,Encrypted
118,2026-07-29 09:59:58,20.42.72.131,10.82.235.241,IPv4,TCP,443,55559,Dynamic/Unknown Port,LOW,Encrypted
119,2026-07-29 09:59:58,20.42.72.131,10.82.235.241,IPv4,TCP,443,55559,Dynamic/Unknown Port,LOW,Encrypted
120,2026-07-29 09:59:58,20.42.72.131,10.82.235.241,IPv4,TCP,443,55559,Dynamic/Unknown Port,LOW,Encrypted
121,2026-07-29 09:59:58,20.42.72.131,10.82.235.241,IPv4,TCP,443,55559,Dynamic/Unknown Port,LOW,Encrypted
122,2026-07-29 09:59:58,20.42.72.131,10.82.235.241,IPv4,TCP,443,55559,Dynamic/Unknown Port,LOW,Encrypted
123,2026-07-29 09:59:58,10.82.235.241,20.42.72.131,IPv4,TCP,55559,443,SAFE,NONE,No Payload
124,2026-07-29 09:59:58,10.82.235.241,20.42.72.131,IPv4,TCP,55559,443,SAFE,NONE,Encrypted
125,2026-07-29 09:59:58,10.82.235.241,20.42.72.131,IPv4,TCP,55559,443,SAFE,NONE,Encrypted
126,2026-07-29 09:59:58,20.42.72.131,10.82.235.241,IPv4,TCP,443,55554,Dynamic/Unknown Port,LOW,Encrypted
127,2026-07-29 09:59:58,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,No Payload
128,2026-07-29 09:59:58,20.42.72.131,10.82.235.241,IPv4,TCP,443,55554,Dynamic/Unknown Port,LOW,Encrypted
129,2026-07-29 09:59:58,20.42.72.131,10.82.235.241,IPv4,TCP,443,55554,Dynamic/Unknown Port,LOW,Encrypted
130,2026-07-29 09:59:58,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,No Payload
131,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55554,Dynamic/Unknown Port,LOW,Encrypted
132,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,Encrypted
133,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,Encrypted
134,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55558,Dynamic/Unknown Port,LOW,Encrypted
135,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,No Payload
136,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55558,Dynamic/Unknown Port,LOW,Encrypted
137,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,No Payload
138,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55558,Dynamic/Unknown Port,LOW,Encrypted
139,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,Encrypted
140,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,Encrypted
141,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55562,Dynamic/Unknown Port,LOW,Encrypted
142,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55562,Dynamic/Unknown Port,LOW,Encrypted
143,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55562,443,SAFE,NONE,No Payload
144,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55562,Dynamic/Unknown Port,LOW,Encrypted
145,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55562,Dynamic/Unknown Port,LOW,Encrypted
146,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55562,443,SAFE,NONE,No Payload
147,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55562,Dynamic/Unknown Port,LOW,Encrypted
148,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55562,443,SAFE,NONE,Encrypted
149,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55562,443,SAFE,NONE,Encrypted
150,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55557,Dynamic/Unknown Port,LOW,Encrypted
151,2026-07-29 09:59:59,20.42.72.131,10.82.235.241,IPv4,TCP,443,55557,Dynamic/Unknown Port,LOW,Encrypted
152,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55557,443,SAFE,NONE,No Payload
153,2026-07-29 09:59:59,10.82.235.241,20.42.72.131,IPv4,TCP,55557,443,SAFE,NONE,Encrypted
154,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55557,443,SAFE,NONE,No Payload
155,2026-07-29 10:00:00,20.42.72.131,10.82.235.241,IPv4,TCP,443,55552,Dynamic/Unknown Port,LOW,Encrypted
156,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55552,443,SAFE,NONE,No Payload
157,2026-07-29 10:00:00,20.42.72.131,10.82.235.241,IPv4,TCP,443,55552,Dynamic/Unknown Port,LOW,Encrypted
158,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55552,443,SAFE,NONE,No Payload
159,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55552,443,SAFE,NONE,Encrypted
160,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55552,443,SAFE,NONE,No Payload
161,2026-07-29 10:00:00,20.42.72.131,10.82.235.241,IPv4,TCP,443,55560,Dynamic/Unknown Port,LOW,Encrypted
162,2026-07-29 10:00:00,20.42.72.131,10.82.235.241,IPv4,TCP,443,55560,Dynamic/Unknown Port,LOW,Encrypted
163,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55560,443,SAFE,NONE,No Payload
164,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55560,443,SAFE,NONE,Encrypted
165,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55560,443,SAFE,NONE,No Payload
166,2026-07-29 10:00:00,20.42.72.131,10.82.235.241,IPv4,TCP,443,55553,Dynamic/Unknown Port,LOW,Encrypted
167,2026-07-29 10:00:00,20.42.72.131,10.82.235.241,IPv4,TCP,443,55553,Dynamic/Unknown Port,LOW,Encrypted
168,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55553,443,SAFE,NONE,No Payload
169,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55553,443,SAFE,NONE,Encrypted
170,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55553,443,SAFE,NONE,No Payload
171,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55561,443,SAFE,NONE,Encrypted
172,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55555,443,SAFE,NONE,Encrypted
173,2026-07-29 10:00:00,20.42.72.131,10.82.235.241,IPv4,TCP,443,55561,Dynamic/Unknown Port,LOW,Encrypted
174,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55561,443,SAFE,NONE,No Payload
175,2026-07-29 10:00:00,20.42.72.131,10.82.235.241,IPv4,TCP,443,55555,Dynamic/Unknown Port,LOW,Encrypted
176,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55556,443,SAFE,NONE,Encrypted
177,2026-07-29 10:00:00,20.42.72.131,10.82.235.241,IPv4,TCP,443,55555,Dynamic/Unknown Port,LOW,Encrypted
178,2026-07-29 10:00:00,10.82.235.241,20.42.72.131,IPv4,TCP,55555,443,SAFE,NONE,No Payload
179,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55555,443,SAFE,NONE,Encrypted
180,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55555,443,SAFE,NONE,No Payload
181,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55559,443,SAFE,NONE,Encrypted
182,2026-07-29 10:00:01,20.42.72.131,10.82.235.241,IPv4,TCP,443,55561,Dynamic/Unknown Port,LOW,Encrypted
183,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55561,443,SAFE,NONE,No Payload
184,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55561,443,SAFE,NONE,Encrypted
185,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55561,443,SAFE,NONE,No Payload
186,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,Encrypted
187,2026-07-29 10:00:01,20.42.72.131,10.82.235.241,IPv4,TCP,443,55556,Dynamic/Unknown Port,LOW,Encrypted
188,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,Encrypted
189,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55562,443,SAFE,NONE,Encrypted
190,2026-07-29 10:00:01,20.42.72.131,10.82.235.241,IPv4,TCP,443,55559,Dynamic/Unknown Port,LOW,Encrypted
191,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55556,443,SAFE,NONE,No Payload
192,2026-07-29 10:00:01,20.42.72.131,10.82.235.241,IPv4,TCP,443,55559,Dynamic/Unknown Port,LOW,Encrypted
193,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55559,443,SAFE,NONE,No Payload
194,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55559,443,SAFE,NONE,Encrypted
195,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55559,443,SAFE,NONE,No Payload
196,2026-07-29 10:00:01,20.42.72.131,10.82.235.241,IPv4,TCP,443,55556,Dynamic/Unknown Port,LOW,No Payload
197,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55557,443,SAFE,NONE,Encrypted
198,2026-07-29 10:00:01,20.42.72.131,10.82.235.241,IPv4,TCP,443,55554,Dynamic/Unknown Port,LOW,Encrypted
199,2026-07-29 10:00:01,20.42.72.131,10.82.235.241,IPv4,TCP,443,55554,Dynamic/Unknown Port,LOW,Encrypted
200,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,No Payload
201,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,Encrypted
202,2026-07-29 10:00:01,10.82.235.241,20.42.72.131,IPv4,TCP,55554,443,SAFE,NONE,No Payload
203,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55558,Dynamic/Unknown Port,LOW,Encrypted
204,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55558,Dynamic/Unknown Port,LOW,Encrypted
205,2026-07-29 10:00:02,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,No Payload
206,2026-07-29 10:00:02,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,Encrypted
207,2026-07-29 10:00:02,10.82.235.241,20.42.72.131,IPv4,TCP,55558,443,SAFE,NONE,No Payload
208,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55557,Dynamic/Unknown Port,LOW,No Payload
209,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55562,Dynamic/Unknown Port,LOW,Encrypted
210,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55560,Dynamic/Unknown Port,LOW,No Payload
211,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55552,Dynamic/Unknown Port,LOW,No Payload
212,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55553,Dynamic/Unknown Port,LOW,No Payload
213,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55561,Dynamic/Unknown Port,LOW,No Payload
214,2026-07-29 10:00:02,10.82.235.241,20.42.72.131,IPv4,TCP,55562,443,SAFE,NONE,No Payload
215,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55555,Dynamic/Unknown Port,LOW,No Payload
216,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55562,Dynamic/Unknown Port,LOW,No Payload
217,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55556,Dynamic/Unknown Port,LOW,No Payload
218,2026-07-29 10:00:02,20.42.72.131,10.82.235.241,IPv4,TCP,443,55555,Dynamic/Unknown Port,LOW,No Payload
